,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50
T0000884.sel.02.concave.2.7.traveling_1,17297.2584244986,17297.2584244986,17297.2584244986,17297.2584244986,17297.2584244986,17297.2584244986,17297.2584244986,17212.1636070172,17127.4874181869,17043.227798541,16894.6798512009,16738.976084329,16584.701248365,16383.903516533,16223.0970049429,16223.0970049429,16223.0970049429,16223.0970049429,16223.0970049429,16223.0970049429,16223.0970049429,16223.0970049429,16223.0970049429,16464.9035181135,16546.3039737281,16705.2810752416,16792.9279117178,16959.3826987443,16959.3826987443,17043.227798541,17043.227798541,17127.4874181869,17127.4874181869,17212.1636070172,17297.2584244986,17358.3409357708,17382.7739402797,17468.7122342409,17555.0753965457,17661.4453505382,17729.0847385572,17816.7351504628,17816.7351504628,17816.7351504628,17816.7351504628,17686.3651250716,17405.7292020907,17106.852409294,17043.227798541,17043.227798541
T0000884.sel.02.concave.2.7.traveling_1,17468.7122342409,17353.1052919475,17238.2130409401,17124.0482500381,17043.227798541,16981.6273170577,16869.1727597211,16757.5220249939,16646.5615660582,16536.3365709997,16426.8831092084,16383.903516533,16130.3204141644,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16089.8011338981,16143.2865838496,16143.2865838496,16143.2865838496,16143.2865838496,16148.1729361614,16223.0970049429,16467.1512466786,16636.495364484,16747.4060573585,16792.9279117178,16887.8690251437,16959.3826987443,17029.5388026558,17058.7040552106,17127.4874181869,17127.4874181869,17212.1636070172,17212.1636070172,17290.3119087859,17405.5738958204,17521.5876397336,17555.0753965457,17837.2103175327,18317.5583792669,18533.7197261441
T0000884.sel.03.upsweep.3.7.traveling_1,17127.4874181869,17179.4581344048,17349.6148627319,17382.7739402797,17468.7122342409,17555.0753965457,17641.8655276906,17641.8655276906,17641.8655276906,17663.2253344335,17729.0847385572,17729.0847385572,17788.1146077997,17816.7351504628,17904.818895212,17904.818895212,17993.3381151493,17993.3381151493,17993.3381151493,17993.3381151493,18082.2949632103,18082.2949632103,18082.2949632103,18171.6916029745,18171.6916029745,18261.5302087181,18175.3584848416,18261.5302087181,18261.5302087181,18261.5302087181,18351.8129654663,18351.8129654663,18424.0259254591,18451.8459116079,18662.9324106256,18717.4295822241,18902.9604063407,19090.3302482854,19339.8591425382,19561.0271243034,19784.7971563863,21081.2662160218,22847.9247370689,23502.8104757622,25058.2005423012,26506.7599776333,27261.625479354,27770.9590450141,27908.2552470009,28046.2302245046
T0000884.sel.23.sine.2.7.traveling_1,16875.9500795436,16303.3019989308,15668.4629634554,13071.7351830631,11801.1104415172,11543.8051365352,11890.4923369184,12368.9918785478,12744.3177112885,13103.3237163333,13123.0869052047,13058.5271548913,13123.0869052047,13108.5939000323,12749.4595294213,12400.1912524314,11701.7860159944,11276.2695088352,11228.7105852402,11718.2364423901,12572.4572259238,14051.5770928219,15354.1496546759,16473.3894827425,17484.5748558887,17212.1636070172,16792.9279117178,16364.2613179466,16143.2865838496,16223.0970049429,16382.2585876023,16678.4378710435,17233.0031541555,17382.7739402797,17340.8887896931,17115.4503296661,16321.396217168,13265.3317336147,12425.1630305016,12008.3532233575,11715.8664431979,11547.2992886475,11342.2956942425,11152.0916138448,10988.3100049981,10695.9124179117,10505.9797501553,10305.9348919125,10154.5800917805,10005.4481152703
T0000884.sel.23.sine.2.7.traveling_1,17816.7351504628,17129.4195375595,16961.0938232299,16836.9804905641,16792.9279117178,16913.4096228582,16959.3826987443,17043.227798541,16966.2271966869,16792.9279117178,16867.4784297654,16483.3323678769,16172.7498817292,15848.8539512219,15683.6711102638,15619.2341408318,15454.8959867472,15341.7770660554,15290.8653694465,15267.8375359431,15215.6411133353,15215.6411133353,15215.6411133353,15215.6411133353,15215.6411133353,15215.6411133353,15215.6411133353,15215.6411133353,15215.6411133353,15275.5134804442,15267.8375359431,15290.8653694465,15341.7770660554,15366.4615250173,15416.0745167923,15518.7768981281,15567.315889664,15604.9409097171,15767.7142334067,15922.2917005409,16110.8711596366,16236.2240671135,16430.1892317219,16551.3123138981,16718.9266246156,16799.7219846576,17003.8719353711,17055.4448950542,17641.8655276906,17382.7739402797
T0000884.sel.23.sine.2.7.traveling_1,18625.3481543508,18418.801174989,18214.3037806418,18035.2094757822,17901.2324838517,17768.5352635206,17682.8051572811,17617.0683473635,17551.5503695128,17486.3373694052,17327.3487049544,17160.4485636061,17032.9863055411,16906.6745585431,16875.9500795436,16848.8408002535,16792.9279117178,16792.9279117178,16744.0340681467,16681.7932715683,16628.106863172,16628.106863172,16628.106863172,16628.106863172,16618.090182832,16556.3206540681,16546.3039737281,16546.3039737281,16546.3039737281,16546.3039737281,16546.3039737281,16546.3039737281,16533.0141034236,16471.5484532657,16464.9035181135,16158.5529242383,15721.6921839106,15604.964247509,15436.5752888589,15366.4615250173,15351.0337381661,15293.9509268167,15344.8626234256,15473.9692962411,15665.2496021904,15899.8625051372,16080.3869621605,16261.139775368,16286.1740933993,15984.8417054036
T0000884.sel.05.sine.3.7.traveling_1,5816.17711015441,6411.38018013043,6735.47650397353,7106.67093389296,7190.10749052809,7190.10749052809,7270.9015613968,7411.27372083291,7553.59102024289,7704.07851694909,7887.69023498458,8053.72832760015,8154.89507277798,8295.60043939682,8460.87072480862,8629.43363110299,8672.09648840394,8629.43363110299,8620.76975864997,8544.73653081699,8544.73653081699,8460.87072480862,8460.87072480862,8419.24700430955,8421.79539536051,8500.13923787404,8460.87072480862,8460.87072480862,8653.81240670353,8864.50052109603,9602.04311692473,10367.3357915282,11557.8509574873,13247.8561793492,15203.4200217057,15366.4615250173,15595.4998202332,15442.4314186728,16359.3678321166,16792.9279117178,16875.9500795436,17725.5335274958,18261.5302087181,17665.0053183287,16991.8940639716,16588.0401418117,16273.8389399148,15442.4314186728,15300.1220415572,16223.0970049429
T0000884.sel.12.upsweep.3.7.traveling_1,6231.93536176475,6309.5826850917,6356.73328545306,6514.77191573248,6615.89756377379,6900.32574425321,7410.53756754112,7704.07851694909,7783.58289553938,7857.564122317,7935.44983524348,8038.36517537365,8178.71794690702,8321.5470769544,8550.77140585501,8657.29508893218,8888.59550633177,9051.11684529809,9346.42258274054,9556.65117700946,9829.85148579633,10104.6240745722,10328.8675219788,10497.5371859496,10576.0120827364,10760.6900246839,10826.933722105,10838.9499935094,10842.2271584379,10869.5368661753,10826.933722105,10730.4033593703,10667.9274401191,10667.9274401191,10667.9274401191,10667.9274401191,10740.1383589354,10773.6700241041,11009.374743388,11589.2577634519,12116.544558187,12788.0989273493,13403.765842421,14407.8618635487,15283.3564002129,15827.9519489196,16788.0616409439,17466.958391507,18900.0748064174,20154.5605649106
T0000884.sel.12.upsweep.3.7.traveling_1,22353.7973480772,22304.5441807893,22085.5068650958,21879.9160091179,21712.9831644195,21463.205431018,21241.8014603646,21054.6881030841,20883.5321216871,20755.6904048727,20531.3269234915,20407.7316690133,20215.7164672353,19793.0096332656,19252.5248955516,19021.5005104281,18847.9230481149,18584.4588834655,18435.1538298499,18190.3772043019,17949.981762527,17716.9950612682,17560.3890780444,17368.8122234175,17264.262474863,17108.733520195,16973.0716946294,16870.8670896767,16769.3239872352,16668.3716694692,16568.0067811316,16468.2259856896,16450.0259668028,16351.0049379198,16252.5600639588,16223.0970049429,16143.2865838496,16118.9750156898,16063.8687945277,16063.8687945277,16141.6658126389,16127.0788717431,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16063.8687945277,16125.4581005324,16143.2865838496
T0000884.sel.10.upsweep.3.7.traveling_1,8336.61286650397,8260.61987007527,8266.4499649622,8301.54582736871,8508.79404252769,8586.98065608316,8945.46600426655,8844.86757016321,8801.35475599004,8745.74579411072,8672.09648840394,8629.43363110299,8629.43363110299,8629.43363110299,8629.43363110299,8586.98065608316,8629.43363110299,8586.98065608316,8562.84115593106,8544.73653081699,8544.73653081699,8544.73653081699,8466.84636810119,8556.80628089304,8562.84115593106,8653.81240670354,8672.09648840394,8758.05600550774,9155.54061281804,9252.82248405936,9397.36421436901,9523.97968686713,9700.30480526047,9984.94039958033,10496.5182073769,10773.6700241041,10988.3100049981,11097.2282836495,11152.0916138448,11286.496644576,11334.3019295664,11527.6192237441,12127.3823699626,12921.9498956753,13991.9908915862,14230.6307676398,14493.8351073294,14678.6707564414,14699.3319492423,14555.0593532106
