,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50
T0000645.sel.09.sine.4.1.travel_1,15234.3800732028,15297.106408648,15423.3349548803,15553.2185155891,15743.4821931967,15986.9669728845,17573.0756502034,16578.1256300169,16085.1288884681,15606.7932713395,15330.5268118793,16124.2895799582,16607.3108625751,16952.0342783649,17364.9824931302,17677.938370063,18029.7349523752,18396.283460436,18708.9689702445,18941.0198315918,19097.3171948727,19097.3171948727,19097.3171948727,19019.0079583106,18863.3514979939,18657.3025534544,18479.7610182406,20032.340731931,18907.8247723701,17153.6939177564,16443.8243781509,19676.2983524039,18479.7610182406,18555.8499488703,20211.1856703105,20551.2813976914,18463.7982579998,16081.0777824519,16148.6462563658,16471.392352529,16874.0450285351,17375.1607033988,18146.5661626651,18632.2521695561,19097.3171948727,19224.2889214571,19179.1715339576,19200.1188924395,21187.4679053795,22233.0432133261
T0000645.sel.09.sine.4.1.travel_1,21960.6610040313,20746.9489028095,18786.0269502606,17056.1607678077,16560.1554611305,16124.2895799582,15938.751564232,15817.6032048476,15654.0769632834,15419.5851063475,15336.9538125007,15247.1813661508,15234.3800732028,15234.3800732028,15297.106408648,15297.106408648,15297.106408648,15297.106408648,15297.106408648,15297.106408648,15297.106408648,15324.0998112579,15297.106408648,15297.106408648,15360.0910147377,15418.1721842564,15550.6051128695,16043.3782043408,16164.9174008443,16354.4319396704,16539.211986606,16926.7594441756,17646.8368685828,18029.7349523752,18287.1049921844,18599.5982406915,18718.4015428097,18786.0016461934,18863.3514979939,18941.0198315918,19019.0079583106,19121.3881138163,19254.9042915461,19332.5668424881,19399.170079177,19816.7702274914,20350.9998617028,20731.619859104,21543.0704938854,21250.5119444763
T0000645.sel.09.sine.4.1.travel_1,20395.0316398927,19751.9052231316,18641.6654028196,17502.7058913395,16709.5281891523,16223.4009889043,15897.452416802,15660.5563354136,15438.8870386311,15297.106408648,15234.3800732028,15224.1810325744,15194.8587907678,15234.3800732028,15297.106408648,15299.6772088966,15360.0910147377,15423.3349548803,15486.839296863,15550.6051128695,15678.9254777798,16126.9903173024,16493.5375391664,17147.9313844796,17322.8156220175,17518.5369222438,17882.17495717,18103.9709368509,18566.7645518255,18756.1318330704,18947.3862092832,19097.3171948727,19254.9042915461,19334.1848122994,19410.5425008806,19413.7917642245,19413.7917642245,19413.7917642245,19413.7917642245,19334.1848122994,19254.9042915461,19175.9488634219,19041.3820258998,18926.7542192983,18735.6945925125,18622.8967955946,18524.7932424908,18713.6852565271,18790.8862298666,19097.3171948727
T0000645.sel.07.sine.4.1.travel_1,18479.7610182406,17388.3550331858,16735.2742221987,16939.2666897793,17021.8329169386,17091.9189457963,17206.999574586,17375.1607033988,17518.5369222438,17776.0613503872,17910.7247519264,18178.5125820257,18479.7610182406,18708.9689702445,18941.0198315918,17232.9579124617,17091.9189457963,17021.8329169386,16952.0342783649,16824.5968938666,16434.2380170238,19175.9488634219,19254.9042915461,19334.1848122994,19292.1175972058,19254.9042915461,19097.3171948727,18941.0198315918,18687.0498843336,18328.5178937882,17796.9258715633,17518.5369222438,17518.5369222438,17735.8226309761,18097.9108564855,18468.9357432076,18555.8499488703,18479.7610182406,18253.3611464331,17882.17495717,17882.17495717,17882.17495717,18029.7349523752,18280.9697475023,18632.2521695561,18863.3514979939,19669.4486661519,20573.6946982081,21261.2479534183,23070.6284197165
T0000645.sel.07.sine.4.1.travel_1,20818.3780221109,20201.2593256997,19808.6286731876,18995.6631381611,17845.0690352388,17117.8774297623,16545.9026931048,20599.8252394974,17125.6183899386,15808.3047157005,15743.4821931967,15743.4821931967,15743.4821931967,15808.3047157005,15808.3047157005,15767.2945484022,15717.1325134347,15678.9254777798,15678.9254777798,15678.9254777798,15678.9254777798,15678.9254777798,15812.2897824778,15873.3941397304,16004.3780926757,16095.9318378447,16269.5974746936,16332.4848819348,16519.8349482983,16642.1982440125,16900.9639240225,17091.9189457963,17232.9579124617,17518.5369222438,17689.8120646093,17746.2548915642,17876.1891202657,17933.2640635762,17955.803375226,17973.9090675891,18029.7349523752,17955.803375226,17882.17495717,18081.3516810295,18460.2331630077,19019.0079583106,19735.5108478725,19935.1490459372,20962.3011587637,20479.0065433618
T0000645.sel.07.sine.4.1.travel_1,19019.0079583106,18532.5574190857,18207.5354947551,17820.8447751034,17510.365805184,17124.9519224557,16835.9458614982,16734.5422562685,16614.4142289903,16488.001242507,16399.7325756666,17705.3117894661,20199.4477444287,19339.0788027288,16202.8834046274,16202.8834046274,16143.2225415396,16136.4428980069,16136.4428980069,16136.4428980069,16136.4428980069,16202.8834046274,16269.5974746936,16336.5862345809,16403.8508153027,16447.9595743076,16539.211986606,16625.4523009225,16714.9248809098,16813.2944630852,16908.109598312,17056.1607678077,17218.5366136419,17311.1833817106,17433.6816090498,17570.0591848692,17664.5804636984,17808.8484550925,17882.17495717,18025.2085292844,18103.9709368509,18219.7556685359,18317.7812155946,18479.7610182406,18668.2620964099,18768.7085964906,18869.6917701243,19206.5642335109,20110.3348326379,21076.5922807143
T0000645.sel.06.sine.4.1.travel_1,20062.5613562129,20311.4010785379,20003.7990312204,19322.998922694,19063.7560934889,18732.1036679984,18136.1786356178,17808.8484550925,17601.0149701995,17395.6009398613,17263.3673349148,17132.1330043381,17091.9189457963,17021.8329169386,16952.0342783649,16882.5218516211,16862.7425977537,16813.2944630852,16813.2944630852,16813.2944630852,16813.2944630852,16813.2944630852,16744.3509439479,16813.2944630852,16813.2944630852,16882.5218516211,16952.0342783649,17021.8329169386,17091.9189457963,17162.2935482445,17283.6402832168,17303.9132315188,17405.8210580926,17632.1408159356,17892.6933026066,18178.5125820257,18468.9357432076,18763.992310208,19199.1090177328,19528.1252850748,19677.706438867,19816.7702274914,19980.2941012235,20228.1134473101,20539.2355886364,20647.9950536848,20855.1143070411,21039.654526825,21275.5626320077,21691.6158128509
T0000645.sel.06.sine.4.1.travel_1,20062.5613562129,19686.4693625331,19096.3677986814,18762.4202147805,18601.0675896844,18555.8499488703,18433.3669823849,18403.9840930097,18328.5178937882,18259.4963911151,18253.3611464331,18178.5125820257,18103.9709368509,18079.7306153894,18072.1555149327,18029.7349523752,18002.5764138306,17955.803375226,17955.803375226,17955.803375226,17955.803375226,17882.17495717,17882.17495717,17882.17495717,17849.2528541964,17808.8484550925,17808.8484550925,17808.8484550925,17746.2548915642,17735.8226309761,17735.8226309761,17663.0962518801,17663.0962518801,17636.4899883027,17590.6680899194,17590.6680899194,17590.6680899194,17534.7296333546,17518.5369222438,17445.2415141274,17446.7015310176,17446.7015310176,17446.7015310176,17446.7015310176,17446.7015310176,17446.7015310176,17446.7015310176,17503.87663832,17511.2067802819,17518.5369222438
T0000645.sel.06.sine.4.1.travel_1,17663.0962518801,17605.4493474624,17590.6680899194,17590.6680899194,17590.6680899194,17590.6680899194,17646.8368685828,17663.0962518801,17770.621317599,17955.803375226,17955.803375226,18011.6292600121,18070.6404948414,18208.0571338856,18403.9840930097,18403.9840930097,18459.6569360364,18560.6746903672,18657.3025534544,18708.9689702445,18708.9689702445,18763.992310208,18865.092557111,18941.0198315918,18964.9921817786,19151.9765132351,19230.7342625285,19293.7355670171,19356.9296557066,19420.3170480736,19483.9385656019,19547.7817386173,19611.8203358764,19676.0548843239,19735.5108478725,19735.5108478725,19788.5781978277,19853.4042497123,19898.3641860744,19898.3641860744,19898.3641860744,20002.2440284069,20097.9639206983,20145.1673400122,20146.8601177122,20212.8784480105,20330.3082590954,20395.0316398927,20446.6568263809,20647.9950536848
T0000645.sel.06.sine.4.1.travel_1,17375.1607033988,17446.7015310176,17456.9637297642,17518.5369222438,17611.3618504796,17725.4331482481,17840.27409884,17882.17495717,18157.5213489797,18479.7610182406,18534.1102544047,18654.1712554671,18708.9689702445,18819.1515826793,18941.0198315918,19019.0079583106,19266.2300802252,19391.0469208173,19597.0172953189,19723.9499660714,19770.3362962806,19898.3641860744,19992.1911404392,20145.1673400122,20145.1673400122,20251.9099133752,20383.084416842,20431.0208842366,20479.0065433618,20611.7088335683,20733.0115136775,20793.98759113,20867.4605744847,21064.2458056721,21163.3734553397,21338.0092193379,21388.2135266854,21615.3753116284,21755.4111589829,21870.6105231143,21947.7966496146,22089.9937857612,22141.8758193555,22233.0432133261,22337.7173657675,22482.4329274537,22508.8038303986,22588.2422794527,22601.4820209617,22508.8038303986
