,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50
T0000880.sel.03.upsweep.2.6.traveling_1,7516.43071232458,7553.59102024289,7663.09916849111,7780.44285052543,7929.07613998894,8085.4191236326,8214.17988129486,8254.78977518835,8336.61286650397,8613.83866068754,8801.35475599004,9045.65572951523,9246.29212266973,9546.08098902224,9713.72253340414,9828.81276702465,9956.22576105129,10020.5906775593,10167.8992533494,10471.1541728068,10826.933722105,10934.2524074669,11042.6348566351,11152.0916138448,11208.356939676,11262.6333278473,11374.2707529467,11715.8664431979,11890.4923369184,11949.2774669158,12008.3532233575,12067.7210430648,12127.3823699626,12247.5913567571,12406.4311272081,12553.352657299,12677.7839449234,12771.3122564858,12866.7472932605,12930.3589075525,12994.2850098328,13037.5501279334,13058.5271548913,13253.1655101638,13464.2761139458,13934.394784879,14483.4549354065,15146.8974729186,16226.3706781669,17297.2584244986
T0000880.sel.02.upsweep.2.6.traveling_1,8295.60043939682,8408.33352490977,8513.85271639709,8667.74313561813,8755.51808762945,9021.08070849233,9155.54061281804,9246.29212266973,9381.28235267593,9430.50269902021,9508.68050524671,9571.06506971932,9618.38323690654,9713.72253340414,9761.74598152592,9883.3732774561,9956.22576105129,10005.4481152703,10135.2093912303,10255.2342764114,10443.8819737806,10548.3751792994,10667.9274401191,10773.6700241041,10880.4607492702,10988.3100049981,11072.7169490716,11202.7254005487,11207.2261815891,11318.3144002143,11543.8051365352,11658.2295916141,11934.8811085491,12075.0265116645,12277.2487854496,12421.4068266723,12629.4161041624,12803.4486198159,13055.9050265216,13274.5604549395,13517.2035942635,13727.0039996762,13991.9908915862,14468.9136790966,15673.2465503707,17822.3314339251,19557.0981224278,19858.5670894963,19858.5670894963,19566.9206271169
T0000880.sel.01.upsweep.2.6.traveling_1,7479.45321659202,7553.59102024289,7742.16653250775,7896.41095180941,8053.72832760015,8214.17988129486,8292.26895660429,8395.57903270452,8460.87072480862,8539.58922841367,8567.15178095822,8672.09648840394,8714.97026561817,8801.35475599004,8888.59550633177,8932.53962803238,8956.87344747599,9021.08070849233,9235.15229138456,9523.97968686713,9618.38323690654,9618.38323690654,9713.72253340414,9761.74598152592,9858.50631759737,9972.29836651057,10104.6240745722,10773.6700241041,10826.933722105,10880.4607492702,11020.4614478037,11152.0916138448,11262.6333278473,11262.6333278473,11262.6333278473,11478.9417496103,11687.6361485446,12067.7210430648,12116.424167063,12247.5913567571,12187.3386551142,12247.5913567571,12395.19935261,12615.4148871001,14289.46642572,14412.2027794878,14412.2027794878,14947.1365253746,16444.5103052709,18533.7197261441
T0000880.sel.01.upsweep.2.6.traveling_1,7553.59102024289,7757.78951945374,7903.58135897077,8142.58548762295,8321.5470769544,8377.82805400075,8437.93520534995,8538.73134467979,8640.7523483461,8672.09648840394,8675.59638858469,8844.08491942273,8932.53962803238,8976.70100405969,8976.70100405969,9026.5418242752,9155.54061281804,9332.33189006481,9477.12594315461,9523.97968686713,9610.65782185556,9713.72253340414,9762.73089724299,9907.24555892049,9858.50631759737,10005.4481152703,10290.4191319373,10881.558538213,10988.3100049981,11042.6348566351,11097.2282836495,11243.41044037,11377.7135893172,11430.5037469971,11600.8762877026,11617.2629459631,12127.3823699626,12127.3823699626,12096.9429174637,12122.5120575627,12187.3386551142,12247.5913567571,12316.8347886534,13002.9324650359,14378.3998490766,14412.2027794878,14412.2027794878,14712.6798101527,16046.5179350971,17993.3381151493
T0000879.sel.01.upsweep.3.6.traveling_1,2382.15659353921,2417.66282145208,2434.30917395196,2511.16739876896,2647.42561454852,3278.74651659488,4045.53119609237,4170.8335778669,5089.25081884416,5907.64403644744,6169.53345591711,6352.26310977851,6539.7497268813,7095.94900846071,7119.53724441165,7206.79281991775,7708.15276554073,8471.96834806624,8672.09648840394,8758.05600550774,8801.35475599004,8926.26189636086,8976.70100405969,9050.20665933428,9090.3763376199,9155.54061281804,9200.80447825528,9246.29212266973,9344.53827085214,9434.31808627927,10801.2901881966,11088.3150710758,11152.0916138448,11207.2261815891,11292.1783866543,11286.496644576,11318.3144002143,11374.2707529467,11430.5037469971,11375.4183650702,11487.0147500458,12058.7077337751,12722.5535183273,12803.4486198159,12835.7438613693,13666.6722213196,14222.0341471459,14569.7447452981,14779.4557759162,14918.4266266334
T0000879.sel.12.concave.2.6.traveling_1,33330.1898847449,33404.172901155,33494.9702394766,33660.5652479921,34028.513971764,33994.2153564782,33826.9789378394,33660.5652479921,33166.2201760628,32847.3237179057,32597.1112620153,32358.3924274179,32040.7977710732,31726.3202771762,31570.2408935486,31529.0357904401,31414.9293510629,31414.9293510629,31570.2408935486,31570.2408935486,31729.5213184187,31973.2435683524,32397.6670457913,33939.6075463104,34539.1925831607,35149.3893565488,35712.7345029493,36044.9997166789,36604.3034514435,37142.4521383664,37616.5510533389,37905.3092022283,38575.048366817,38871.2076593911,39220.8917905118,39414.7950501236,39609.656943575,39805.4822102336,39805.4822102336,39414.7950501236,39027.9424486875,38644.8867700832,34647.1030834228,33053.0049980605,31806.535280627,30711.7589990635,29852.1849230265,29319.1091373947,28967.2209177527,28888.5234651506
T0000879.sel.03.upsweep.3.6.traveling_1,8377.82805400075,8537.01557721201,8801.35475599004,8952.36718461607,9167.54939344425,9295.75473622125,9477.12594315461,9557.61210319012,9665.93533928588,9761.74598152592,9907.24555892049,9907.24555892049,9956.22576105129,10005.4481152703,10005.4481152703,10054.9138187477,10101.5805895217,10104.6240745722,10104.6240745722,10255.2342764114,10685.1489649145,10667.9274401191,10667.9274401191,10574.9463016672,10563.2227099056,10742.3016921721,10880.4607492702,10936.4588400192,11152.0916138448,11318.3144002143,11487.0147500458,11600.8762877026,11665.2871652774,11600.8762877026,11934.8811085491,12008.3532233575,12173.9940179033,12615.4148871001,13187.9658309741,13253.1655101638,13718.6785572715,14024.4606393821,14918.4266266334,15133.1863212945,15134.7064424563,15346.4054021107,15871.0700923509,16494.8057262984,16792.9279117178,17043.227798541
T0000879.sel.04.upsweep.3.6.traveling_1,3881.58710192509,4344.75810479758,4456.3569547026,4890.72826010799,5247.7216458789,5857.35645691227,6258.3438655385,6419.09481204875,6546.98014589806,6897.43022083054,7154.73535989543,7317.89193310763,7553.59102024289,7698.6641398828,7818.9084019463,8019.76767530999,8145.04740465396,8336.61286650397,8520.71578626818,8586.98065608316,8714.97026561817,8758.05600550774,8801.35475599004,9155.54061281804,9477.12594315461,9571.06506971932,9665.93533928588,9713.72253340414,9858.50631759737,9907.24555892049,9970.28929082816,10104.6240745722,10133.1703701198,10865.1673129373,11034.8741635441,11374.2707529467,11543.8051365352,11732.4155292211,11915.6859640602,12221.7687703387,12518.1497984592,13113.8640837314,13318.6875285392,13651.1887609542,14220.6013770636,14772.0036364211,15290.8653694465,15906.203394406,16616.4207361086,17127.4874181869
T0000879.sel.02.upsweep.3.6.traveling_1,2417.66282145208,2854.71450858645,3063.39171908397,3252.78610167946,3513.12233397791,3668.13592701582,3984.92944391245,5436.01095956245,5730.75969453202,5787.56410585731,6266.54594956231,6356.09198471581,5768.38892311389,5904.66324422409,7580.26532303216,7643.85723727869,7982.7477022623,8295.60043939682,8398.11488680506,8426.89217746244,8549.90928084958,8586.98065608316,8629.43363110299,8714.97026561817,8786.33274051659,8860.03848679312,8976.70100405969,9065.67982071907,9155.54061281804,9200.80447825528,9292.00465239712,9384.10882050853,9477.12594315461,9613.55485249968,9665.93533928588,9652.34902432036,9571.06506971932,9571.06506971932,9588.44725358401,9861.49035278042,10092.4501343703,10300.8738998655,10728.2400261336,10934.2524074669,11348.0055261539,12035.0740521872,12672.6925932643,14007.6518578195,15186.7293074128,16303.3019989308
T0000879.sel.05.upsweep.3.6.traveling_1,3364.31686899304,3298.60003827444,3362.96909504356,3412.41047769124,3858.99293847809,6041.16604208629,6596.06044607721,6743.6011206027,6776.94065418065,6816.6293003078,6844.1150158651,6938.45584562128,7647.75106115762,8629.43363110299,8702.72061498553,8744.86649329665,8758.05600550774,8801.35475599004,8789.94596803424,9695.19280507257,9761.74598152592,9713.72253340414,9740.18443338962,9761.74598152592,9810.00685166193,9810.00685166193,9881.3839206674,9956.22576105129,10154.5800917805,10347.6305829422,10531.4065728923,10900.2209502404,11450.1096051976,11734.7796843673,11890.4923369184,11949.2774669158,12067.7210430648,12127.3823699626,12127.3823699626,12187.3386551142,12187.3386551142,12247.5913567571,12438.9216648887,12803.4486198159,12803.4486198159,13253.1655101638,13253.1655101638,13253.1655101638,13253.1655101638,13253.1655101638
