,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50
T0000699.sel.02.concave.2.3.foraging_1,13450.7049651464,13695.2637299778,13923.1565201557,13923.1565201557,13991.9908915862,14200.5425959111,14335.5417383979,14555.0593532106,15008.8205621804,15290.8653694465,15636.4112079966,17043.227798541,17056.9844711362,18442.542069047,18757.2845440498,19741.0320381201,20500.3697298833,20976.2010529012,21173.4397435091,21383.3150208671,21489.0314973306,21595.2706230366,21741.4484389741,21809.3271706044,21917.1497986799,21917.1497986799,22025.5054885522,22025.5054885522,22056.6173134267,22134.3968756129,22025.5054885522,21917.1497986799,21820.3294795917,21761.1551675119,21595.2706230366,21489.0314973306,21383.3150208671,21156.433391605,20965.6243727654,20610.0170981247,20242.0012103506,19685.4807813668,18996.4143150045,18435.1356116118,17688.2595092424,16514.7405317551,15818.4641069324,14292.3461327624,14061.1655716732,14270.7483299447
T0000699.sel.09.upsweep.2.3.foraging_1,7857.564122317,8197.88527960429,9023.81126638376,9365.26570162454,9677.66725466221,9986.77244079758,10582.4541909652,11255.1469383386,12066.9421539859,12649.8503905587,13033.7141614773,13253.1655101638,13541.7524314619,13923.1565201557,14160.6223941681,14412.2027794878,14734.9262450033,14993.6941337613,15332.5203939447,15608.119056601,16033.2256375204,16246.0693637415,16493.2752530113,16910.088389543,17229.8625441425,17468.7122342409,17746.9725777216,17933.7231302936,18261.5302087181,18296.5378082735,18617.8682826604,18809.9662493384,18996.4143150045,19281.7322270612,19570.869053494,19816.6976680014,20065.5265891016,20317.5524905969,20657.719469439,20831.0642135702,21069.2758380964,21278.1186224441,21625.7747255686,22005.6034230654,22172.3622930699,22464.3117696677,22732.7626874267,23018.1985403184,23192.6632503988,23483.8551633897
T0000699.sel.09.upsweep.2.3.foraging_1,9021.08070849233,9356.973537649,9673.73733016233,9821.88427189102,9988.45043295216,10175.0711095789,10407.168360284,10540.9514139963,10649.7195874057,10905.7801031872,11187.0224860492,11419.0558544682,11542.6461490558,11658.2295916141,11724.1409862095,11845.1281437424,12026.5270457169,12257.7756193027,12983.9362903596,13289.2694794727,13492.7755264246,13632.0008248001,13772.6604928806,14306.9988364651,14480.5466841445,14629.9693734109,14708.2305231825,14816.9378924411,15087.5826864387,15243.2745135394,15324.8065005191,15559.4870200615,15720.0408763568,15882.2488702775,16107.7173254229,16360.9311577344,16618.1148216378,16962.8134073043,17229.5728246971,17571.0164410417,17752.3389294709,17935.5296449862,18210.1938625789,18398.103324436,19240.8443382376,19924.687176118,20305.411790645,20641.1273402862,20759.8486908413,20965.6243727654
T0000699.sel.03.sine.2.3.foraging_1,15442.4314186728,15442.4314186728,15409.8728928204,15055.7124902794,14918.4266266334,14918.4266266334,14918.4266266334,14918.4266266334,14992.1814909194,14992.1814909194,15055.7124902794,15066.3009901727,15066.3009901727,15140.7869271038,15140.7869271038,15420.7257347712,15595.4998202332,15839.1307268462,16052.5792103671,16747.4630499025,17127.4874181869,17212.1636070172,17212.1636070172,17212.1636070172,17212.1636070172,17212.1636070172,17212.1636070172,17212.1636070172,17297.2584244986,17297.2584244986,17297.2584244986,17309.4749267531,17382.7739402797,17431.881536829,17468.7122342409,17468.7122342409,17555.0753965457,17729.0847385572,17917.4644980602,18442.542069047,18442.542069047,18442.542069047,18442.542069047,18442.542069047,18442.542069047,18442.542069047,18442.542069047,18442.542069047,18442.542069047,18261.5302087181
T0000699.sel.03.sine.2.3.foraging_1,21595.2706230366,21383.3150208671,21489.0314973306,21383.3150208671,21489.0314973306,20965.6243727654,18442.542069047,18171.6916029745,17904.818895212,17641.8655276906,17468.7122342409,17043.227798541,16875.9500795436,16303.3019989308,16063.8687945277,15984.8417054036,15672.6020510181,15518.7768981281,15366.4615250173,15140.7869271038,15066.3009901727,14992.1814909194,14845.034603473,14699.3319492423,14627.0177744394,14555.0593532106,14483.4549354065,14412.2027794878,14341.3011524826,14270.7483299447,14200.5425959111,14200.5425959111,14130.6822428609,14130.6822428609,14130.6822428609,14130.6822428609,14130.6822428609,14130.6822428609,14130.6822428609,14130.6822428609,14130.6822428609,14130.6822428609,14200.5425959111,14200.5425959111,14270.7483299447,14270.7483299447,14270.7483299447,14341.3011524826,14412.2027794878,14483.4549354065
T0000699.sel.03.sine.2.3.foraging_1,17816.7351504628,17816.7351504628,17518.184603798,17163.7772133999,16769.7315582415,16177.6032305385,15269.425591969,14699.3319492423,14699.3319492423,14699.3319492423,14699.3319492423,14699.3319492423,14699.3319492423,14699.3319492423,14699.3319492423,14761.6219668241,14824.1686128867,14845.034603473,14950.0358541846,15140.7869271038,15683.6711102638,15750.085465738,15750.085465738,15827.9519489196,15872.6670606261,16257.4705737948,16816.6485310966,16959.3826987443,17043.227798541,18120.98353833,19956.7453999345,20254.2022306446,20498.3059169761,20657.719469439,20862.4828265388,20862.4828265388,20965.6243727654,20965.6243727654,20906.6863463502,20862.4828265388,20862.4828265388,20759.8486908413,20657.719469439,20556.092678378,20454.9658459246,20297.1169228704,20112.0670764563,19928.694454095,19663.6570733565,19470.6600811635
T0000699.sel.04.sine.2.3.foraging_1,18442.542069047,18386.9936382833,18062.3250585435,17656.1053988525,17984.5020277827,18171.6916029745,18261.5302087181,18351.8129654663,18351.8129654663,18351.8129654663,18351.8129654663,18375.8839521305,18442.542069047,18442.542069047,18442.542069047,18459.2889856567,18515.1120410222,18533.7197261441,18444.4028375592,18533.7197261441,18533.7197261441,18533.7197261441,18533.7197261441,18533.7197261441,18533.7197261441,18533.7197261441,18533.7197261441,18533.7197261441,18533.7197261441,18556.1593412151,18533.7197261441,18623.4781864282,18625.3481543508,18717.4295822241,17849.1724296909,16795.3745355006,15899.8312340522,15468.9186258308,15046.636633228,14563.8705884631,14448.5559202626,14341.3011524826,14341.3011524826,14341.3011524826,14412.2027794878,14451.4641715246,14555.0593532106,14699.3319492423,15140.7869271038,15215.6411133353
T0000699.sel.04.sine.2.3.foraging_1,20759.8486908413,20647.5749696881,20545.773613842,20490.0506653472,20434.4292472675,20378.9804308933,20323.6831609149,20268.5071280532,20132.7912793344,19968.8864950655,19906.6544252211,19858.5670894963,19858.5670894963,19842.6168336887,19788.7847203381,19760.8717726749,19760.8717726749,19725.1602504763,19671.5929671784,19663.6570733565,19657.7635227631,19498.6376567407,19328.5312029391,19119.9926919104,18872.0756475446,18566.8807365068,18295.863226958,18048.3426809327,17955.4013066048,17906.6254099046,17904.818895212,17904.818895212,17904.818895212,17888.6402482173,17840.104307233,17816.7351504628,17816.7351504628,17850.8900718961,17899.4260128804,17861.6758365593,17816.7351504628,17816.7351504628,17816.7351504628,17816.7351504628,17816.7351504628,17816.7351504628,17786.3258238833,17738.0286581394,17689.925092862,17641.8655276906
T0000699.sel.04.sine.2.3.foraging_1,18261.5302087181,18157.0962332171,18022.38524921,17949.981762527,17702.5345804891,17484.5748558887,17213.9002359454,17019.3309815413,16717.4307878434,16351.4025017273,15935.0909372214,15765.9765847547,15595.4998202332,15595.4998202332,15595.4998202332,15518.7768981281,15518.7768981281,15518.7768981281,15518.7768981281,15518.7768981281,15518.7768981281,15551.6581504589,15595.4998202332,15595.4998202332,15595.4998202332,15595.4998202332,15614.3819992009,15672.6020510181,15672.6020510181,15750.085465738,15750.085465738,15827.9519489196,15827.9519489196,15981.1714604388,16267.2915934668,16464.9035181135,16618.090182832,16713.6861652406,16792.9279117178,16792.9279117178,16792.9279117178,16792.9279117178,16875.9500795436,16875.9500795436,16875.9500795436,16875.9500795436,16959.3826987443,17015.8498067706,17127.4874181869,17382.7739402797
T0000699.sel.04.sine.2.3.foraging_1,21278.1186224441,20885.8338022234,20680.6464375089,20657.719469439,20601.7210335483,20556.092678378,20589.2769366837,20585.1289043955,20556.092678378,20556.092678378,20556.092678378,20583.0548882514,20657.719469439,20657.719469439,20657.719469439,20657.719469439,20657.719469439,20657.719469439,20657.719469439,20657.719469439,20580.9808721072,20556.092678378,20502.4335427905,20454.9658459246,20323.6831609149,20116.2641343385,19940.7557160766,19715.2403831989,19663.6570733565,19566.9206271169,19566.9206271169,19470.6600811635,19470.6600811635,19547.2756177386,19488.3405896039,19566.9206271169,19566.9206271169,19566.9206271169,19566.9206271169,19566.9206271169,19566.9206271169,19566.9206271169,19566.9206271169,19502.0920961687,19561.0271243034,19513.8791017956,19486.3760886661,19685.4807813668,19820.6852319533,19956.7453999345
